sessionId,speakerId
cmffpi11l00bb3z7gfhjfevvf,cmffpi0bi002p3z7g1chwyrf7
cmffpi11o00bc3z7gbbw827wj,cmffpi0bl002q3z7gtk000xtr
cmffpi11o00bc3z7gbbw827wj,cmffpi0bn002r3z7gzxj11eu4
cmffpi11r00bd3z7gvktg1n7d,cmffpi0bo002s3z7g9eamvpe0
cmffpi11u00be3z7gzok133j6,cmffpi0bp002t3z7gaecsyx0v
cmffpi11u00be3z7gzok133j6,cmffpi0br002u3z7gmf8r59k7
cmffpi11z00bh3z7gkx7yno45,cmffpi0bu002w3z7gffzya0fl
cmffpi12400bi3z7giulx07rx,cmffpi0by002y3z7gd7jlc5yu
cmffpi12400bi3z7giulx07rx,cmffpi0bz002z3z7g3q00d4d3
cmffpi12e00bj3z7g6lb7anm8,cmffpi0c100303z7gzp9235sb
cmffpi12h00bl3z7gb8mpwbj5,cmffpi0c200313z7gxfm62poi
cmffpi12h00bl3z7gb8mpwbj5,cmffpi0c200323z7ga246sgrc
cmffpi12k00bm3z7g6bezifg7,cmffpi0c300333z7gpwsdl3d2
cmffpi12m00bn3z7g0ic9j4bc,cmffpi0c300343z7g1bfqrzhd
cmffpi12m00bn3z7g0ic9j4bc,cmffpi0c400353z7g4enu7k0s
cmffpi12o00bo3z7gt6hyh634,cmffpi0c400363z7gx1s7dxnl
cmffpi12o00bo3z7gt6hyh634,cmffpi0c600373z7gnr4dj4c7
cmffpi12r00bp3z7g36evtbzb,cmffpi0ar00203z7gse09rnl8
cmffpi12s00bq3z7gf05g0y15,cmffpi0c700383z7gj2ugp3hr
cmffpi12t00br3z7gat68mev7,cmffpi0c8003a3z7g8ojpjgav
cmffpi12z00bu3z7gvbg56kmt,cmffpi0cb003e3z7g6hf6zpj2
cmffpi12z00bu3z7gvbg56kmt,cmffpi0cd003f3z7g5yu6l88p
cmffpi13b00bv3z7g83qm9adx,cmffpi0ch003h3z7gux9hu05g
cmffpi13b00bv3z7g83qm9adx,cmffpi0ck003i3z7gs1n706bm
cmffpi13d00bw3z7gcxg806fi,cmffpi0cm003j3z7gf71oqb1c
cmffpi13d00bw3z7gcxg806fi,cmffpi0cn003k3z7gu0n2s5w8
cmffpi13i00by3z7gu9yswkhr,cmffpi0cp003m3z7g77dkov4i
cmffpi13m00c03z7g8gcihze6,cmffpi0cu003q3z7gx178x6pd
cmffpi13o00c13z7gtvynjglc,cmffpi0cw003r3z7g7dev5efv
cmffpi13o00c13z7gtvynjglc,cmffpi0cx003s3z7gftaqoyad
cmffpi13q00c23z7g6a5x2cl7,cmffpi0d2003t3z7g6vn5m8pu
cmffpi13s00c33z7gu47ni56u,cmffpi0d5003u3z7ggm5bctmf
cmffpi13s00c33z7gu47ni56u,cmffpi0d6003v3z7ge4bau4ka
cmffpi13v00c53z7ghqhdqo9e,cmffpi09o001j3z7g4dyf17ji
cmffpi13x00c63z7g01ccv42w,cmffpi0db003y3z7g0twocr0q
cmffpi14100c73z7g1s250pca,cmffpi0de003z3z7g43lwhbnt
cmffpi14700c83z7gngtmbnab,cmffpi07o000e3z7gqo9rkz6p
cmffpi14700c83z7gngtmbnab,cmffpi0dh00403z7gocwaopoy
cmffpi14b00ca3z7gu3u4oqmb,cmffpi0dn00433z7go52yr5p0
cmffpi14b00ca3z7gu3u4oqmb,cmffpi0ds00443z7gjf9e6lnh
cmffpi14i00cb3z7g2858vq5n,cmffpi0du00463z7gfw8pdkrf
cmffpi14i00cb3z7g2858vq5n,cmffpi0dw00473z7gx6hl8kt8
cmffpi14k00cc3z7gl231lvrz,cmffpi0dy00483z7gcjrd29z2
cmffpi14m00cd3z7gc9pq7yn7,cmffpi0dy00493z7g13p8oo67
cmffpi14r00cg3z7gliumt8r2,cmffpi0e0004b3z7g5bm5caks
cmffpi14y00cj3z7gkrqiceie,cmffpi0e1004d3z7gz1usf50x
cmffpi15100ck3z7gq6k2tjvy,cmffpi0e1004e3z7gv3p8n49k
cmffpi15400cl3z7g3zpu9t4c,cmffpi0e3004f3z7grbbu5rcl
cmffpi15600cn3z7gvbww9r4b,cmffpi0ab001r3z7g2h671y8b
